# 2a36c003-8c74-48dc-b3ed-3d04a7d6ff86
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.8139605; 0.7826489; -0.0714915; -0.0002275; 88.7432894; 1.5663737
1.9998527; 2.9572699; 2.7773552; -0.0719543; -0.0002353; 88.7785810; 1.5583386
3.9997055; 3.1015188; 4.7720183; -0.0724294; -0.0002363; 88.8136776; 1.5502669
5.9995582; 3.2467065; 6.7665794; -0.0728958; -0.0002302; 88.8485787; 1.5336677
7.9994110; 3.3928123; 8.7610952; -0.0733476; -0.0002216; 88.8830927; 1.5257442
9.9992637; 3.5398015; 10.7555396; -0.0737823; -0.0002132; 88.9174150; 1.5177629
11.9991165; 3.6876406; 12.7499122; -0.0742006; -0.0002052; 88.9515447; 1.5015067
13.9989692; 3.8362994; 14.7442392; -0.0746033; -0.0001975; 88.9852959; 1.4937340
15.9988220; 3.9857457; 16.7384998; -0.0749909; -0.0001901; 89.0188597; 1.4858858
17.9986747; 4.1359497; 18.7326971; -0.0753639; -0.0001829; 89.0522346; 1.4699798
19.9985275; 4.2868845; 20.7268523; -0.0757230; -0.0001761; 89.0852399; 1.4623591
21.9983802; 4.4385213; 22.7209475; -0.0760685; -0.0001695; 89.1180620; 1.4546476
23.9982330; 4.5908337; 24.7149856; -0.0764011; -0.0001631; 89.1506990; 1.4390886
25.9980857; 4.7437976; 26.7089855; -0.0767212; -0.0001570; 89.1829752; 1.4316198
27.9979385; 4.8973873; 28.7029313; -0.0770293; -0.0001512; 89.2150723; 1.4240475
29.9977912; 5.0515795; 30.6968256; -0.0773259; -0.0001454; 89.2469882; 1.4088310
31.9976440; 5.2063525; 32.6906852; -0.0776113; -0.0001400; 89.2785518; 1.4015136
33.9974967; 5.3616836; 34.6844961; -0.0778861; -0.0001348; 89.3099404; 1.3940818
35.9973495; 5.5175519; 36.6782608; -0.0781506; -0.0001297; 89.3411516; 1.3792025
37.9972022; 5.6739381; 38.6719940; -0.0784051; -0.0001249; 89.3720189; 1.3720352
39.9970550; 5.8308221; 40.6656833; -0.0786502; -0.0001202; 89.4027153; 1.3647446
41.9969077; 5.9881851; 42.6593311; -0.0788861; -0.0001157; 89.4332381; 1.3501965
43.9967605; 6.1460102; 44.6529504; -0.0791132; -0.0001114; 89.4634253; 1.3431777
45.9966132; 6.3042792; 46.6465303; -0.0793318; -0.0001073; 89.4934455; 1.3360281
47.9964660; 6.4629756; 48.6400729; -0.0795423; -0.0001032; 89.5232959; 1.3218048
49.9963187; 6.6220843; 50.6335896; -0.0797449; -0.0000994; 89.5528187; 1.3149325
51.9961715; 6.7815892; 52.6270711; -0.0799400; -0.0000957; 89.5821783; 1.3079234
53.9960242; 6.9414754; 54.6205190; -0.0801279; -0.0000922; 89.6113720; 1.2940182
55.9958770; 7.1017297; 56.6139436; -0.0803088; -0.0000888; 89.6402458; 1.2872902
57.9957297; 7.2623377; 58.6073365; -0.0804830; -0.0000855; 89.6689604; 1.2804204
59.9955825; 7.4232863; 60.6006993; -0.0806508; -0.0000823; 89.6975126; 1.2668266
61.9954352; 7.5845636; 62.5940410; -0.0808125; -0.0000793; 89.7257527; 1.2602404
63.9952880; 7.7461568; 64.5873543; -0.0809681; -0.0000764; 89.7538372; 1.2535086
65.9951407; 7.9080545; 66.5806407; -0.0811181; -0.0000736; 89.7817629; 1.2402191
67.9949935; 8.0702460; 68.5739079; -0.0812626; -0.0000709; 89.8093840; 1.2337724
69.9948462; 8.2327200; 70.5671495; -0.0814018; -0.0000683; 89.8368532; 1.2271768
71.9946990; 8.3954663; 72.5603671; -0.0815360; -0.0000658; 89.8641671; 1.2141848
73.9945517; 8.5584754; 74.5535673; -0.0816653; -0.0000635; 89.8911837; 1.2078748
75.9944045; 8.7217376; 76.5467446; -0.0817900; -0.0000612; 89.9180519; 1.2014136
77.9942572; 8.8852435; 78.5399003; -0.0819102; -0.0000590; 89.9447684; 1.1887122
79.9941100; 9.0489851; 80.5330401; -0.0820261; -0.0000569; 89.9711946; 1.1825363
81.9939627; 9.2129533; 82.5261595; -0.0821379; -0.0000549; 89.9974758; 1.1762074
83.9938155; 9.3771403; 84.5192595; -0.0822457; -0.0000530; 90.0236088; 1.1637898
85.9936682; 9.5415387; 86.5123450; -0.0823498; -0.0000511; 90.0494584; 1.1577454
87.9935210; 9.7061407; 88.5054121; -0.0824502; -0.0000493; 90.0751664; 1.1515466
89.9933737; 9.8709392; 90.4984619; -0.0825471; -0.0000476; 90.1007294; 1.1394060
91.9932265; 10.0359279; 92.4914983; -0.0826407; -0.0000460; 90.1260158; 1.1334904
93.9930792; 10.2010997; 94.4845183; -0.0827311; -0.0000444; 90.1511639; 1.1274194
95.9929320; 10.3664485; 96.4775228; -0.0828185; -0.0000429; 90.1761704; 1.1155494
97.9927847; 10.5319686; 98.4705149; -0.0829028; -0.0000415; 90.2009067; 1.1097598
99.9926375; 10.6976540; 100.4634923; -0.0829844; -0.0000401; 90.2255079; 1.1038143
101.9924902; 10.8634992; 102.4564558; -0.0830633; -0.0000388; 90.2499707; 1.0922085
103.9923430; 11.0294990; 104.4494078; -0.0831396; -0.0000375; 90.2741698; 1.0865423
105.9921957; 11.1956483; 106.4423465; -0.0832134; -0.0000363; 90.2982368; 1.0807198
107.9920485; 11.3619423; 108.4352728; -0.0832848; -0.0000351; 90.3221686; 1.0693719
109.9919012; 11.5283764; 110.4281884; -0.0833539; -0.0000340; 90.3458428; 1.0638264
111.9917540; 11.6949461; 112.4210921; -0.0834209; -0.0000330; 90.3693881; 1.0581246
113.9916067; 11.8616471; 114.4139846; -0.0834857; -0.0000319; 90.3928011; 1.0470284
115.9914595; 12.0284754; 116.4068669; -0.0835486; -0.0000310; 90.4159626; 1.0416012
117.9913122; 12.1954270; 118.3997387; -0.0836096; -0.0000300; 90.4389982; 1.0360175
119.9911650; 12.3624983; 120.3926004; -0.0836687; -0.0000291; 90.4619045; 1.0251672
