# converted RL trajectory with psi_rad aligned to traj_Monza.csv
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
1.9996092;2.9726043;2.7757728;-0.0750588;-0.0001126;56.7234251;0.0000000
3.9992183;3.1227861;4.7697540;-0.0752949;-0.0001199;56.7196508;-0.1070619
5.9988275;3.2734426;6.7636683;-0.0755349;-0.0001201;56.7629428;1.2284617
7.9984367;3.4245772;8.7575623;-0.0757722;-0.0001173;56.8059844;1.2222854
9.9980459;3.5761792;10.7514175;-0.0760041;-0.0001146;56.8486852;1.2135219
11.9976550;3.7282377;12.7452310;-0.0762307;-0.0001120;56.8912175;1.2096430
13.9972642;3.8807436;14.7390211;-0.0764522;-0.0001095;56.9335801;1.2057138
15.9968734;4.0336858;16.7327726;-0.0766686;-0.0001070;56.9756091;1.1971068
17.9964826;4.1870543;18.7264865;-0.0768802;-0.0001046;57.0174730;1.1932826
19.9960917;4.3408405;20.7201779;-0.0770870;-0.0001022;57.0591702;1.1894001
21.9957009;4.4950339;22.7138329;-0.0772891;-0.0000999;57.1005410;1.1809497
23.9953101;4.6496254;24.7074529;-0.0774866;-0.0000977;57.1417500;1.1771847
25.9949192;4.8046069;26.7010513;-0.0776798;-0.0000955;57.1827951;1.1733447
27.9945284;4.9599688;28.6946156;-0.0778685;-0.0000933;57.2235209;1.1650504
29.9941376;5.1157024;30.6881471;-0.0780531;-0.0000912;57.2640882;1.1613404
31.9937468;5.2718003;32.6816580;-0.0782334;-0.0000892;57.3044946;1.1575500
33.9933559;5.4282536;34.6751370;-0.0784098;-0.0000872;57.3445883;1.1494024
35.9929651;5.5850541;36.6685852;-0.0785822;-0.0000852;57.3845267;1.1457489
37.9925743;5.7421950;38.6620138;-0.0787507;-0.0000833;57.4243070;1.1420038
39.9921835;5.8996678;40.6554125;-0.0789155;-0.0000815;57.4637812;1.1340021
41.9917926;6.0574652;42.6487824;-0.0790766;-0.0000797;57.5031033;1.1304037
43.9914018;6.2155807;44.6421337;-0.0792342;-0.0000779;57.5422699;1.1267053
45.9910110;6.3740064;46.6354569;-0.0793882;-0.0000762;57.5811370;1.1188456
47.9906201;6.5327354;48.6287530;-0.0795388;-0.0000745;57.6198547;1.1152978
49.9902293;6.6917617;50.6220316;-0.0796860;-0.0000728;57.6584198;1.1116475
51.9898385;6.8510779;52.6152838;-0.0798300;-0.0000712;57.6966915;1.1039259
53.9894477;7.0106778;54.6085107;-0.0799707;-0.0000696;57.7348168;1.1004301
55.9890568;7.1705555;56.6017209;-0.0801084;-0.0000681;57.7727922;1.0968262
57.9886660;7.3307044;58.5949064;-0.0802430;-0.0000666;57.8104802;1.0892387
59.9882752;7.4911185;60.5880682;-0.0803747;-0.0000651;57.8480247;1.0857961
61.9878844;7.6517924;62.5812141;-0.0805034;-0.0000637;57.8854219;1.0822370
63.9874935;7.8127198;64.5743369;-0.0806293;-0.0000623;57.9225374;1.0747796
65.9871027;7.9738952;66.5674376;-0.0807524;-0.0000609;57.9595122;1.0713884
67.9867119;8.1353137;68.5605230;-0.0808728;-0.0000596;57.9963423;1.0678752
69.9863210;8.2969693;70.5535868;-0.0809906;-0.0000582;58.0328965;1.0605466
71.9859302;8.4588569;72.5466301;-0.0811058;-0.0000570;58.0693127;1.0572052
73.9855394;8.6209718;74.5396587;-0.0812184;-0.0000557;58.1055866;1.0537361
75.9851486;8.7833085;76.5326672;-0.0813286;-0.0000545;58.1415903;1.0465349
77.9847577;8.9458623;78.5256565;-0.0814363;-0.0000533;58.1774583;1.0432386
79.9843669;9.1086288;80.5186318;-0.0815417;-0.0000521;58.2131868;1.0398177
81.9839761;9.2716028;82.5115883;-0.0816448;-0.0000510;58.2486501;1.0327337
83.9835852;9.4347800;84.5045269;-0.0817457;-0.0000499;58.2839806;1.0294894
85.9831944;9.5981561;86.4974520;-0.0818443;-0.0000488;58.3191739;1.0261119
87.9828036;9.7617265;88.4903597;-0.0819408;-0.0000477;58.3541072;1.0191466
89.9824128;9.9254870;90.4832506;-0.0820351;-0.0000467;58.3889102;1.0159495
91.9820219;10.0894337;92.4761287;-0.0821275;-0.0000457;58.4235784;1.0126164
93.9816311;10.2535623;94.4689905;-0.0822178;-0.0000447;58.4579917;1.0057682
95.9812403;10.4178688;96.4618367;-0.0823061;-0.0000437;58.4922771;1.0026163
97.9808495;10.5823496;98.4546705;-0.0823925;-0.0000427;58.5264299;0.9993256
99.9804586;10.7470006;100.4474892;-0.0824770;-0.0000418;58.5603329;0.9925931
101.9800678;10.9118182;102.4402935;-0.0825597;-0.0000409;58.5941104;0.9894873
103.9796770;11.0767989;104.4330857;-0.0826406;-0.0000400;58.6277575;0.9862370
105.9792861;11.2419390;106.4258640;-0.0827198;-0.0000391;58.6611596;0.9796156
107.9788953;11.4072351;108.4186288;-0.0827972;-0.0000383;58.6944385;0.9765569
109.9785045;11.5726838;110.4113821;-0.0828730;-0.0000375;58.7275892;0.9733479
111.9781137;11.7382818;112.4041223;-0.0829471;-0.0000367;58.7604997;0.9668357
113.9777228;11.9040259;114.3968501;-0.0830196;-0.0000359;58.7932891;0.9638191
115.9773320;12.0699129;116.3895667;-0.0830905;-0.0000351;58.8259527;0.9606523
117.9769412;12.2359396;118.3822713;-0.0831599;-0.0000343;58.8583805;0.9542476
