# 20ac82b2-b053-485e-bfc6-ef37c4069491
# da39a3ee5e6b4b0d3255bfef95601890afd80709
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 2.8228723; 0.7817859; -0.0748483; -0.0000980; 56.7234251; 1.2332298
1.9996092; 2.9726043; 2.7757728; -0.0750588; -0.0001126; 56.7668821; 1.2293042
3.9992183; 3.1227862; 4.7697540; -0.0752949; -0.0001199; 56.8101678; 1.2253513
5.9988275; 3.2734426; 6.7636683; -0.0755349; -0.0001201; 56.8532815; 1.2165752
7.9984367; 3.4245772; 8.7575623; -0.0757722; -0.0001173; 56.8960540; 1.2126797
9.9980459; 3.5761792; 10.7514175; -0.0760041; -0.0001146; 56.9386576; 1.2087428
11.9976550; 3.7282377; 12.7452310; -0.0762307; -0.0001120; 56.9810912; 1.2001224
13.9972642; 3.8807437; 14.7390211; -0.0764522; -0.0001095; 57.0231910; 1.1962851
15.9968734; 4.0336858; 16.7327726; -0.0766686; -0.0001070; 57.0651252; 1.1923941
17.9964826; 4.1870543; 18.7264865; -0.0768802; -0.0001046; 57.1068924; 1.1839318
19.9960917; 4.3408405; 20.7201779; -0.0770870; -0.0001022; 57.1483330; 1.1801519
21.9957009; 4.4950339; 22.7138329; -0.0772891; -0.0000999; 57.1896114; 1.1763071
23.9953101; 4.6496254; 24.7074529; -0.0774866; -0.0000977; 57.2307256; 1.1679986
25.9949192; 4.8046069; 26.7010513; -0.0776798; -0.0000955; 57.2715203; 1.1642751
27.9945284; 4.9599688; 28.6946156; -0.0778685; -0.0000933; 57.3121560; 1.1604767
29.9941376; 5.1157024; 30.6881471; -0.0780531; -0.0000912; 57.3526305; 1.1523178
31.9937468; 5.2718004; 32.6816580; -0.0782334; -0.0000892; 57.3927922; 1.1486498
33.9933559; 5.4282536; 34.6751370; -0.0784098; -0.0000872; 57.4327981; 1.1448978
35.9929651; 5.5850541; 36.6685852; -0.0785822; -0.0000852; 57.4726456; 1.1368847
37.9925743; 5.7421950; 38.6620138; -0.0787507; -0.0000833; 57.5121869; 1.1332712
39.9921835; 5.8996678; 40.6554125; -0.0789155; -0.0000815; 57.5515755; 1.1295656
41.9917926; 6.0574652; 42.6487824; -0.0790766; -0.0000797; 57.5908085; 1.1216944
43.9914018; 6.2155807; 44.6421337; -0.0792342; -0.0000779; 57.6297417; 1.1181345
45.9910110; 6.3740064; 46.6354569; -0.0793882; -0.0000762; 57.6685251; 1.1144751
47.9906201; 6.5327354; 48.6287530; -0.0795388; -0.0000745; 57.7071557; 1.1067422
49.9902293; 6.6917617; 50.6220316; -0.0796860; -0.0000728; 57.7454927; 1.1032350
51.9898385; 6.8510779; 52.6152838; -0.0798300; -0.0000712; 57.7836828; 1.0996218
53.9894477; 7.0106778; 54.6085107; -0.0799707; -0.0000696; 57.8217228; 1.0920236
55.9890568; 7.1705556; 56.6017209; -0.0801084; -0.0000681; 57.8594752; 1.0885681
57.9886660; 7.3307044; 58.5949064; -0.0802430; -0.0000666; 57.8970836; 1.0850008
59.9882752; 7.4911185; 60.5880682; -0.0803747; -0.0000651; 57.9345445; 1.0775340
61.9878844; 7.6517924; 62.5812141; -0.0805034; -0.0000637; 57.9717236; 1.0741294
63.9874935; 7.8127198; 64.5743369; -0.0806293; -0.0000623; 58.0087615; 1.0706076
65.9871027; 7.9738953; 66.5674376; -0.0807524; -0.0000609; 58.0456545; 1.0632690
67.9867119; 8.1353137; 68.5605230; -0.0808728; -0.0000596; 58.0822714; 1.0599143
69.9863210; 8.2969693; 70.5535868; -0.0809906; -0.0000582; 58.1187498; 1.0564377
71.9859302; 8.4588569; 72.5466301; -0.0811058; -0.0000570; 58.1550858; 1.0492242
73.9855394; 8.6209718; 74.5396587; -0.0812184; -0.0000557; 58.1911513; 1.0459186
75.9851486; 8.7833085; 76.5326672; -0.0813286; -0.0000545; 58.2270808; 1.0424868
77.9847577; 8.9458623; 78.5256565; -0.0814363; -0.0000533; 58.2628705; 1.0353954
79.9843669; 9.1086288; 80.5186318; -0.0815417; -0.0000521; 58.2983949; 1.0321381
81.9839761; 9.2716028; 82.5115883; -0.0816448; -0.0000510; 58.3337860; 1.0287505
83.9835852; 9.4347800; 84.5045269; -0.0817457; -0.0000499; 58.3690397; 1.0217785
85.9831944; 9.5981561; 86.4974520; -0.0818443; -0.0000488; 58.4040333; 1.0185685
87.9828036; 9.7617265; 88.4903597; -0.0819408; -0.0000477; 58.4388961; 1.0152248
89.9824128; 9.9254870; 90.4832506; -0.0820351; -0.0000467; 58.4736239; 1.0083692
91.9820219; 10.0894338; 92.4761287; -0.0821275; -0.0000457; 58.5080967; 1.0052058
93.9816311; 10.2535623; 94.4689905; -0.0822178; -0.0000447; 58.5424411; 1.0019054
95.9812403; 10.4178688; 96.4618367; -0.0823061; -0.0000437; 58.5766528; 0.9951638
97.9808495; 10.5823496; 98.4546705; -0.0823925; -0.0000427; 58.6106145; 0.9920461
99.9804586; 10.7470006; 100.4474892; -0.0824770; -0.0000418; 58.6444502; 0.9887884
101.9800678; 10.9118182; 102.4402935; -0.0825597; -0.0000409; 58.6781554; 0.9821582
103.9796770; 11.0767989; 104.4330857; -0.0826406; -0.0000400; 58.7116154; 0.9790854
105.9792861; 11.2419390; 106.4258640; -0.0827198; -0.0000391; 58.7449518; 0.9758700
107.9788953; 11.4072351; 108.4186288; -0.0827972; -0.0000383; 58.7781599; 0.9693487
109.9785045; 11.5726838; 110.4113821; -0.0828730; -0.0000375; 58.8111275; 0.9663201
111.9781137; 11.7382819; 112.4041223; -0.0829471; -0.0000367; 58.8439737; 0.9631463
113.9777228; 11.9040259; 114.3968501; -0.0830196; -0.0000359; 58.8766938; 0.9567316
115.9773320; 12.0699129; 116.3895667; -0.0830905; -0.0000351; 58.9091780; 0.9537464
117.9769412; 12.2359397; 118.3822713; -0.0831599; -0.0000343; 58.9415430; 0.9506135
119.9765504; 12.4021032; 120.3749644; -0.0832278; -0.0000336; 58.9737840; 0.9443033
121.9761595; 12.5684005; 122.3676466; -0.0832942; -0.0000329; 59.0057936; 0.9413606
123.9757687; 12.7348288; 124.3603177; -0.0833591; -0.0000321; 59.0376861; 0.9382681
125.9753779; 12.9013851; 126.3529782; -0.0834227; -0.0000314; 59.0694568; 0.9320601
127.9749870; 13.0680666; 128.3456281; -0.0834849; -0.0000308; 59.1010003; 0.9291594
129.9745962; 13.2348708; 130.3382677; -0.0835458; -0.0000301; 59.1324289; 0.9261066
131.9742054; 13.4017949; 132.3308977; -0.0836053; -0.0000294; 59.1637376; 0.9199987
133.9738146; 13.5688363; 134.3235172; -0.0836635; -0.0000288; 59.1948235; 0.9171391
135.9734237; 13.7359925; 136.3161274; -0.0837205; -0.0000282; 59.2257964; 0.9141254
137.9730329; 13.9032611; 138.3087287; -0.0837762; -0.0000276; 59.2566515; 0.9081157
139.9726421; 14.0706394; 140.3013197; -0.0838308; -0.0000270; 59.2872879; 0.9052966
141.9722513; 14.2381253; 142.2939022; -0.0838841; -0.0000264; 59.3178134; 0.9023212
143.9718604; 14.4057164; 144.2864766; -0.0839363; -0.0000258; 59.3482229; 0.8964078
145.9714696; 14.5734103; 146.2790409; -0.0839874; -0.0000253; 59.3784177; 0.8936284
147.9710788; 14.7412049; 148.2715974; -0.0840374; -0.0000247; 59.4085037; 0.8906908
149.9706879; 14.9090980; 150.2641465; -0.0840863; -0.0000242; 59.4384755; 0.8848717
151.9702971; 15.0770873; 152.2566857; -0.0841341; -0.0000237; 59.4682366; 0.8821315
153.9699063; 15.2451710; 154.2492179; -0.0841809; -0.0000231; 59.4978908; 0.8792308
155.9695155; 15.4133469; 156.2417434; -0.0842266; -0.0000226; 59.5274327; 0.8735044
157.9691246; 15.5816129; 158.2342591; -0.0842714; -0.0000222; 59.5567677; 0.8708026
159.9687338; 15.7499672; 160.2267684; -0.0843152; -0.0000217; 59.5859976; 0.8679382
161.9683430; 15.9184080; 162.2192717; -0.0843581; -0.0000212; 59.6151171; 0.8623027
163.9679522; 16.0869330; 164.2117653; -0.0844000; -0.0000207; 59.6440334; 0.8596387
165.9675613; 16.2555407; 166.2042532; -0.0844410; -0.0000203; 59.6728464; 0.8568100
167.9671705; 16.4242295; 168.1967357; -0.0844812; -0.0000198; 59.7015508; 0.8512637
169.9667797; 16.5929970; 170.1892086; -0.0845204; -0.0000194; 59.7300558; 0.8486369
171.9663888; 16.7618420; 172.1816764; -0.0845588; -0.0000190; 59.7584592; 0.8458430
173.9659980; 16.9307629; 174.1741394; -0.0845964; -0.0000186; 59.7867557; 0.8403845
175.9656072; 17.0997575; 176.1665928; -0.0846331; -0.0000182; 59.8148563; 0.8377942
177.9652164; 17.2688247; 178.1590419; -0.0846692; -0.0000180; 59.8428572; 0.8350346
179.9648255; 17.4379637; 180.1514865; -0.0847052; -0.0000181; 59.8707528; 0.8296623
181.9644347; 17.6071741; 182.1439214; -0.0847408; -0.0000175; 59.8984561; 0.8271080
183.9640439; 17.7764545; 184.1363525; -0.0847753; -0.0000169; 59.9260614; 0.8243818
185.9636531; 17.9458023; 186.1287795; -0.0848084; -0.0000163; 59.9535630; 0.8190946
187.9632622; 18.1152147; 188.1211974; -0.0848406; -0.0000159; 59.9808757; 0.8165759
189.9628714; 18.2846907; 190.1136119; -0.0848721; -0.0000156; 60.0080921; 0.8138828
191.9624806; 18.4542290; 192.1060225; -0.0849029; -0.0000152; 60.0352064; 0.8086795
193.9620897; 18.6238276; 194.0984248; -0.0849330; -0.0000149; 60.0621353; 0.8061958
195.9616989; 18.7934857; 196.0908238; -0.0849624; -0.0000146; 60.0889695; 0.8035350
197.9613081; 18.9632020; 198.0832191; -0.0849913; -0.0000142; 60.1157031; 0.7984141
199.9609173; 19.1329748; 200.0756067; -0.0850194; -0.0000139; 60.1422547; 0.7959648
201.9605264; 19.3028033; 202.0679912; -0.0850470; -0.0000136; 60.1687131; 0.7933357
203.9601356; 19.4726862; 204.0603720; -0.0850740; -0.0000133; 60.1950725; 0.7882957
205.9597448; 19.6426220; 206.0527460; -0.0851003; -0.0000130; 60.2212531; 0.7858803
207.9593539; 19.8126099; 208.0451169; -0.0851261; -0.0000128; 60.2473421; 0.7832824
209.9589631; 19.9826486; 210.0374842; -0.0851513; -0.0000125; 60.2733336; 0.7783219
211.9585723; 20.1527368; 212.0298455; -0.0851760; -0.0000122; 60.2991494; 0.7759397
213.9581815; 20.3228737; 214.0222036; -0.0852001; -0.0000119; 60.3248753; 0.7733723
215.9577906; 20.4930582; 216.0145583; -0.0852237; -0.0000117; 60.3505051; 0.7684900
217.9573998; 20.6632890; 218.0069076; -0.0852467; -0.0000114; 60.3759623; 0.7661405
219.9570090; 20.8335653; 219.9992538; -0.0852693; -0.0000112; 60.4013310; 0.7636032
221.9566182; 21.0038860; 221.9915965; -0.0852913; -0.0000109; 60.4266051; 0.7587976
223.9562273; 21.1742501; 223.9839347; -0.0853129; -0.0000107; 60.4517096; 0.7564803
225.9558365; 21.3446567; 225.9762698; -0.0853339; -0.0000104; 60.4767272; 0.7539725
227.9554457; 21.5151049; 227.9686014; -0.0853546; -0.0000102; 60.5016514; 0.7492423
229.9550548; 21.6855936; 229.9609291; -0.0853747; -0.0000100; 60.5264092; 0.7469565
231.9546640; 21.8561221; 231.9532538; -0.0853944; -0.0000097; 60.5510814; 0.7444779
233.9542732; 22.0266894; 233.9455750; -0.0854137; -0.0000095; 60.5756616; 0.7398216
235.9538824; 22.1972946; 235.9378930; -0.0854325; -0.0000093; 60.6000783; 0.7375669
237.9534915; 22.3679370; 237.9302078; -0.0854509; -0.0000091; 60.6244108; 0.7351170
239.9531007; 22.5386156; 239.9225193; -0.0854689; -0.0000089; 60.6486527; 0.7305333
241.9527099; 22.7093297; 241.9148282; -0.0854866; -0.0000087; 60.6727339; 0.7283092
243.9523191; 22.8800785; 243.9071339; -0.0855038; -0.0000085; 60.6967322; 0.7258876
245.9519282; 23.0508611; 245.8994363; -0.0855206; -0.0000083; 60.7206414; 0.7213750
247.9515374; 23.2216770; 247.8917367; -0.0855370; -0.0000081; 60.7443925; 0.7191811
249.9511466; 23.3925252; 249.8840339; -0.0855531; -0.0000080; 60.7680622; 0.7167875
251.9507557; 23.5634051; 251.8763277; -0.0855688; -0.0000078; 60.7916440; 0.7123447
253.9503649; 23.7343160; 253.8686202; -0.0855842; -0.0000076; 60.8150705; 0.7101803
255.9499741; 23.9052571; 255.8609094; -0.0855992; -0.0000074; 60.8384168; 0.7078143
257.9495833; 24.0762277; 257.8531952; -0.0856139; -0.0000073; 60.8616765; 0.7034400
259.9491924; 24.2472274; 259.8454803; -0.0856282; -0.0000071; 60.8847836; 0.7013048
261.9488016; 24.4182553; 261.8377620; -0.0856423; -0.0000069; 60.9078119; 0.6989662
263.9484108; 24.5893108; 263.8300403; -0.0856560; -0.0000068; 60.9307547; 0.6946590
265.9480200; 24.7603934; 265.8223185; -0.0856694; -0.0000066; 60.9535476; 0.6925523
267.9476291; 24.9315023; 267.8145932; -0.0856825; -0.0000065; 60.9762628; 0.6902408
269.9472383; 25.1026369; 269.8068646; -0.0856953; -0.0000063; 60.9988939; 0.6859994
271.9468475; 25.2737969; 271.7991364; -0.0857078; -0.0000062; 61.0213775; 0.6839210
273.9464566; 25.4449815; 273.7914046; -0.0857200; -0.0000060; 61.0437848; 0.6816363
275.9460658; 25.6161900; 275.7836693; -0.0857320; -0.0000059; 61.0661091; 0.6774593
277.9456750; 25.7874223; 277.7759351; -0.0857436; -0.0000058; 61.0882884; 0.6754086
279.9452842; 25.9586775; 279.7681972; -0.0857550; -0.0000056; 61.1103927; 0.6731505
281.9448933; 26.1299550; 281.7604559; -0.0857662; -0.0000055; 61.1324150; 0.6690367
283.9445025; 26.3012547; 283.7527161; -0.0857771; -0.0000054; 61.1542949; 0.6670133
285.9441117; 26.4725758; 285.7449725; -0.0857877; -0.0000053; 61.1761009; 0.6647816
287.9437209; 26.6439176; 287.7372254; -0.0857981; -0.0000051; 61.1978262; 0.6607297
289.9433300; 26.8152803; 289.7294805; -0.0858083; -0.0000050; 61.2194114; 0.6587331
291.9429392; 26.9866628; 291.7217315; -0.0858182; -0.0000049; 61.2409238; 0.6565276
293.9425484; 27.1580647; 293.7139791; -0.0858279; -0.0000048; 61.2623567; 0.6525363
295.9421575; 27.3294861; 295.7062293; -0.0858374; -0.0000047; 61.2836518; 0.6505661
297.9417667; 27.5009259; 297.6984754; -0.0858467; -0.0000046; 61.3048753; 0.6483866
299.9413759; 27.6723838; 299.6907180; -0.0858557; -0.0000045; 61.3260204; 0.6444546
301.9409851; 27.8438599; 301.6829637; -0.0858646; -0.0000044; 61.3470300; 0.6425105
303.9405942; 28.0153532; 303.6752052; -0.0858732; -0.0000043; 61.3679691; 0.6403568
305.9402034; 28.1868633; 305.6674431; -0.0858816; -0.0000042; 61.3888309; 0.6364829
307.9398126; 28.3583904; 307.6596845; -0.0858899; -0.0000041; 61.4095594; 0.6345644
309.9394218; 28.5299335; 309.6519217; -0.0858979; -0.0000040; 61.4302186; 0.6324363
311.9390309; 28.7014923; 311.6441554; -0.0859058; -0.0000039; 61.4508015; 0.6286193
313.9386401; 28.8730669; 313.6363928; -0.0859134; -0.0000038; 61.4712534; 0.6267260
315.9382493; 29.0446564; 315.6286260; -0.0859209; -0.0000037; 61.4916369; 0.6246235
317.9378584; 29.2162605; 317.6208556; -0.0859283; -0.0000036; 61.5119453; 0.6208622
319.9374676; 29.3878795; 319.6130894; -0.0859354; -0.0000035; 61.5321247; 0.6189936
321.9370768; 29.5595122; 321.6053188; -0.0859424; -0.0000034; 61.5522369; 0.6169166
323.9366860; 29.7311585; 323.5975446; -0.0859492; -0.0000034; 61.5722750; 0.6132097
325.9362951; 29.9028187; 325.5897750; -0.0859559; -0.0000033; 61.5921862; 0.6113656
327.9359043; 30.0744917; 327.5820009; -0.0859623; -0.0000032; 61.6120312; 0.6093138
329.9355135; 30.2461773; 329.5742233; -0.0859687; -0.0000031; 61.6318032; 0.6056602
