s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
0,2.8228723,0.7817859,-0.0748483,-0.000098,56.7234251,0
1.9996092,2.9726043,2.7757728,-0.0750588,-0.0001126,56.7196508391874,-0.107061858881258
3.9992183,3.1227861,4.769754,-0.0752949,-0.0001199,56.7629428243215,1.2284617923219
5.9988275,3.2734426,6.7636683,-0.0755349,-0.0001201,56.8059844066993,1.22228541881327
7.9984367,3.4245772,8.7575623,-0.0757722,-0.0001173,56.8486851516614,1.21352188681678
9.9980459,3.5761792,10.7514175,-0.0760041,-0.0001146,56.8912175110921,1.20964296965421
11.997655,3.7282377,12.745231,-0.0762307,-0.000112,56.9335800982372,1.20571388377661
13.9972642,3.8807436,14.7390211,-0.0764522,-0.0001095,56.9756091160452,1.19710675015581
15.9968734,4.0336858,16.7327726,-0.0766686,-0.000107,57.0174730391369,1.19328257349842
17.9964826,4.1870543,18.7264865,-0.0768802,-0.0001046,57.0591701867294,1.18940006613273
19.9960917,4.3408405,20.7201779,-0.077087,-0.0001022,57.1005409622469,1.18094976240239
21.9957009,4.4950339,22.7138329,-0.0772891,-0.0000999,57.1417500338482,1.17718470928297
23.9953101,4.6496254,24.7074529,-0.0774866,-0.0000977,57.182795126476,1.17334465797835
25.9949192,4.8046069,26.7010513,-0.0776798,-0.0000955,57.2235209445363,1.1650504124193
27.9945284,4.9599688,28.6946156,-0.0778685,-0.0000933,57.2640882495191,1.16134036563699
29.9941376,5.1157024,30.6881471,-0.0780531,-0.0000912,57.304494572299,1.15754996974842
31.9937468,5.2718003,32.681658,-0.0782334,-0.0000892,57.3445883175965,1.14940237521995
33.9933559,5.4282536,34.675137,-0.0784098,-0.0000872,57.3845267412037,1.14574893595403
35.9929651,5.5850541,36.6685852,-0.0785822,-0.0000852,57.4243069792918,1.14200383255157
37.9925743,5.742195,38.6620138,-0.0787507,-0.0000833,57.4637812372351,1.13400209122757
39.9921835,5.8996678,40.6554125,-0.0789155,-0.0000815,57.5031032649257,1.13040363484453
41.9917926,6.0574652,42.6487824,-0.0790766,-0.0000797,57.542269903866,1.12670536272564
43.9914018,6.2155807,44.6421337,-0.0792342,-0.0000779,57.581136959919,1.11884559932627
45.991011,6.3740064,46.6354569,-0.0793882,-0.0000762,57.619854677381,1.11529779057836
47.9906201,6.5327354,48.628753,-0.0795388,-0.0000745,57.6584198031194,1.11164755907722
49.9902293,6.6917617,50.6220316,-0.079686,-0.0000728,57.6966915431502,1.10392591529136
51.9898385,6.8510779,52.6152838,-0.07983,-0.0000712,57.7348168364817,1.10043005320085
53.9894477,7.0106778,54.6085107,-0.0799707,-0.0000696,57.7727922350401,1.09682619259056
55.9890568,7.1705555,56.6017209,-0.0801084,-0.0000681,57.8104802451653,1.08923877760432
57.988666,7.3307044,58.5949064,-0.080243,-0.0000666,57.8480247007177,1.08579606410125
59.9882752,7.4911185,60.5880682,-0.0803747,-0.0000651,57.8854218583736,1.08223695585881
61.9878844,7.6517924,62.5812141,-0.0805034,-0.0000637,57.9225374249692,1.07477951818808
63.9874935,7.8127198,64.5743369,-0.0806293,-0.0000623,57.9595122293584,1.0713884324159
65.9871027,7.9738952,66.5674376,-0.0807524,-0.0000609,57.9963423328266,1.06787519312879
67.9867119,8.1353137,68.560523,-0.0808728,-0.0000596,58.0328965425385,1.06054651343102
69.986321,8.2969693,70.5535868,-0.0809906,-0.0000582,58.0693126824853,1.05720520557322
71.9859302,8.4588569,72.5466301,-0.0811058,-0.000057,58.1055866185887,1.05373611855438
73.9855394,8.6209718,74.5396587,-0.0812184,-0.0000557,58.1415902583439,1.04653486262313
75.9851486,8.7833085,76.5326672,-0.0813286,-0.0000545,58.1774583208535,1.04323857518989
77.9847577,8.9458623,78.5256565,-0.0814363,-0.0000533,58.2131867768737,1.03981774351141
79.9843669,9.1086288,80.5186318,-0.0815417,-0.0000521,58.248650133719,1.03273371647345
81.9839761,9.2716028,82.5115883,-0.0816448,-0.000051,58.2839806064335,1.02948939490783
83.9835852,9.43478,84.5045269,-0.0817457,-0.0000499,58.319173869608,1.0261119291893
85.9831944,9.5981561,86.497452,-0.0818443,-0.0000488,58.3541072310618,1.01914661642074
87.9828036,9.7617265,88.4903597,-0.0819408,-0.0000477,58.3889102014156,1.01594946020455
89.9824128,9.925487,90.4832506,-0.0820351,-0.0000467,58.4235783594605,1.01261631899078
91.9820219,10.0894337,92.4761287,-0.0821275,-0.0000457,58.4579917131796,1.00576828094858
93.9816311,10.2535623,94.4689905,-0.0822178,-0.0000447,58.4922770689201,1.00261630350899
95.9812403,10.4178688,96.4618367,-0.0823061,-0.0000437,58.5264299096964,0.999325585041836
97.9808495,10.5823496,98.4546705,-0.0823925,-0.0000427,58.5603329436564,0.992593077008439
99.9804586,10.7470006,100.4474892,-0.082477,-0.0000418,58.5941103728525,0.989487373842092
101.9800678,10.9118182,102.4402935,-0.0825597,-0.0000409,58.6277574843739,0.98623702584737
103.979677,11.0767989,104.4330857,-0.0826406,-0.00004,58.661159586706,0.979615519481469
105.9792861,11.241939,106.425864,-0.0827198,-0.0000391,58.6944384777579,0.976556908626473
107.9788953,11.4072351,108.4186288,-0.0827972,-0.0000383,58.7275892483703,0.973347868671852
109.9785045,11.5726838,110.4113821,-0.082873,-0.0000375,58.7604997073686,0.966835653277318
111.9781137,11.7382818,112.4041223,-0.0829471,-0.0000367,58.7932891486706,0.963819095131654
113.9777228,11.9040259,114.3968501,-0.0830196,-0.0000359,58.8259526670615,0.960652326541591
115.977332,12.0699129,116.3895667,-0.0830905,-0.0000351,58.8583804713624,0.954247591053301
117.9769412,12.2359396,118.3822713,-0.0831599,-0.0000343,58.8906894516546,0.951273973824826
119.9765504,12.4021032,120.3749644,-0.0832278,-0.0000336,58.9228746065148,0.94814721892818
121.9761595,12.5684005,122.3676466,-0.0832942,-0.0000329,58.9548285449331,0.941848301099398
123.9757687,12.7348287,124.3603177,-0.0833591,-0.0000321,58.9866657531362,0.938915441514369
125.9753779,12.901385,126.3529782,-0.0834227,-0.0000314,59.0183813335118,0.935832500573147
127.974987,13.0680666,128.3456281,-0.0834849,-0.0000308,59.0498698948735,0.929631539901975
129.9745962,13.2348708,130.3382678,-0.0835458,-0.0000301,59.0812439202692,0.926743226841366
131.9742054,13.4017949,132.3308977,-0.0836053,-0.0000294,59.1124982152224,0.923696009781976
133.9738146,13.5688363,134.3235172,-0.0836635,-0.0000288,59.1435298890645,0.917599922521439
135.9734237,13.7359925,136.3161274,-0.0837205,-0.0000282,59.1744489207811,0.914748122389216
137.9730329,13.9032611,138.3087287,-0.0837762,-0.0000276,59.2052503199172,0.911743246111024
139.9726421,14.0706394,140.3013197,-0.0838308,-0.000027,59.2358331954538,0.905744211310982
141.9722513,14.2381253,142.2939022,-0.0838841,-0.0000264,59.2663055231675,0.902935435035729
143.9718604,14.4057164,144.2864766,-0.0839363,-0.0000258,59.2966620157722,0.899964859953284
145.9714696,14.5734102,146.2790409,-0.0839874,-0.0000253,59.326803982769,0.894060848783811
147.9710788,14.7412048,148.2715974,-0.0840374,-0.0000247,59.3568374963619,0.891295849112837
149.9706879,14.909098,150.2641465,-0.0840863,-0.0000242,59.3867569722758,0.888360158652619
151.9702971,15.0770873,152.2566857,-0.0841341,-0.0000237,59.4164659205339,0.882552151144737
153.9699063,15.2451709,154.2492179,-0.0841809,-0.0000231,59.4460683097522,0.879825668373633
155.9695155,15.4133469,156.2417434,-0.0842266,-0.0000226,59.4755585590303,0.876928457051085
157.9691246,15.5816129,158.2342591,-0.0842714,-0.0000222,59.5048420783911,0.871211494691122
159.9687338,15.7499672,160.2267684,-0.0843152,-0.0000217,59.5340208333723,0.868521162571028
161.968343,15.9184079,162.2192717,-0.0843581,-0.0000212,59.5630893462886,0.865663121961791
163.9679522,16.086933,164.2117653,-0.0844,-0.0000207,59.5919548269879,0.860034957785128
165.9675613,16.2555407,166.2042532,-0.084441,-0.0000203,59.6207173380923,0.857381526950062
167.9671705,16.4242294,168.1967357,-0.0844812,-0.0000198,59.6493714049704,0.854560255925991
